.tpm	TextPad macro file
.hx	Haxe source code file
.thtml	THTML file
.xcp	XLNT script command file
.dwt	Adobe Dreamweaver template
.rbt	Lego MINDSTORMS NXT program file
.phl	PHP source file
.cc	C++ language source code file
.cob	COBOL programming language source file
.dbp	Microsoft Visual Studio Visual C++ database project file
.lap	Scheme source code file
.lsp	LISP source code file
.wbt	WinBatch script file
.ti	Timber compiler file
.pag	Visual Basic property PAGe file
.ptl	Python template language file
.xjb	OEPE JAXB Wizard bindings file
.pas	Delphi unit source file
.ptx	NVIDIA CUDA parallel thread execution assembly language file
.lol	Lolcode source file
.vd	PwrDev visual designer project file
.svn-base	Apache Subversion base file
.cgx	ARM RL-TCPnet HTTP Web Server XML web page update script
.hkp	Mentor Graphics file
.mom	Xcode compiled core database data model file format
.pbl	PowerBASIC library file
.sct	Microsoft Windows script component file
.wpk	Corel WordPerfect macro file
.mrd	MathRevolt Infinity document file
.lst	Microsoft Visual Studio MASM listing file
.appxupload	Microsoft Visual Studio Windows application upload file
.isu	InstallShield uninstall script file
.luca	Luca template file
.vcproj	Microsoft Visual Studio Visual C++ project file
.cbp	Code::Blocks project
.sfx	Self-extracting compressed archive file
.vbw	Microsoft Visual Studio Visual Basic workspace file
.obr	Borland C++ object browser data
.h86	CP/M file
.wsdl	Microsoft Visual Studio Web Service Description Language file
.wdl	World definition language script
.perl	Perl source file
.smm	Ami Pro macro file
.dsd	Document Structure Definition file
.jks	Java KeyStore file
.csproj	Microsoft Visual Studio Visual C# project file
.vba	Visual Basic VBA module file
.f	Fortran source file
.vbi	IntelliCAD VBA script file
.ats	Advanced ETL Processor transformation script file
.bxml	Bean XML file
.dob	Microsoft Visual Basic user document form file
.nvi	nVidia graphics card driver settings file
.rdf	Oracle report binary source file
.dpr	Delphi project file
.bsc	Microsoft Visual Studio Visual C++ source browser information file
.trt	Team Sports Scheduling System report template file
.ary	SmartStart scripting toolkit file
.sal	SQL Application Language file
.ksh	Unix shell script
.lmp	ArchiCAD Geometric Description Language file
.vps	Visual Pinball script file
.vb	Microsoft Visual Studio Visual Basic script file
.bal	Borland programming language source code file
.p	Python pickle file
.pbxproj	Apple Project Builder Xcode project file format
.bmo	SIMATIC WinCC script file
.run	UNIX Shell Installer script file
.pxml	OpenPandora XML file
.x	Lex language source code
.irc	jIRCii script file
.gcl	GNU common lisp file
.rb	Ruby script
.dtx	Documented LaTeX source file
.bcc	Borland C++ file/makefile
.dcr	Delphi component binary resource file
.ptxml	Microsoft Windows DLL XML related file
.vbproj	Microsoft Visual Studio Visual Basic project file
.dqy	Microsoft Excel ODBC query file
.pyw	Python GUI source script file
.ipf	Microsoft SMS installer script
.ssi	HTML with server side includes
.bcp	Borland C++ makefile
.dsr	Microsoft Visual Basic Active Designer file
.dbml	Microsoft Visual Studio Object Relational OR Designer file
.ash	Turbo Assembler (TASM) header file
.html5	HTML5 Hypertext Markup Language revision 5 source file
.odc	Microsoft Office database connection file
.pli	PL/I program source code file
.rptproj	Microsoft Visual Studio 2008 report project file
.loc	Localisation string resource header file
.msha	Microsoft Help library help manifest file
.asc	Adobe Flash ActionScript communications scripts
.sqlproj	Microsoft Visual Studio SQL server project file
.dsb	WonderShare DVD Slideshow Builder project file
.mg	Modula-3 generic module source file
.htc	HTML component file
.mw	MediaWiki structured text file
.jsx	Adobe After Effects script file
.bsv	Bluespec System Verilog file
.seam	Seam Framework JAVA servlet file
.mak	Make file
.tcl	TCL script source code
.less	LESS style sheet file
.wsf	Microsoft Windows scripting file
.fxl	FaceFX batch file
.rpyc	Ren'Py game engine compiled script file
.pkb	Oracle PL/SQL package body file
.rml	Redline Markup Language file
.acu	Machine independent COBOL object file
.tmh	Trace message header file
.bb	Blitz Basic source code file
.zero	Zero Compiler project file
.nbk	NovaBACKUP script file
.ppam	Microsoft PowerPoint macro-enabled Open XML add-in file
.dso	Microsoft Visual Studio workspace file
.ctl	Visual Basic control file (Active X control file)
.lpx	LaTeXPiX script file
.pym	PYM Python preprocessor macro file
.rc2	Microsoft Visual Studio Visual C/C++ non-compilable resource script file
.myapp	Microsoft Visual Studio application XML file
.xme	GME file
.bpr	Borland C++ Builder XML project file
.l	Lex language source file
.gss	Geometer's Sketchpad script file
.rpo	IBM XL C/C++ for Linux compiler file
.brml	Big Red Markup Language file
.obj	Microsoft Visual Studio object file
.axs	ActiveX script file
.clm	Micrografx Picture Publisher macro file
.rh	C++ resource header file
.mhl	Media Hash List file
.sbr	Microsoft Visual Studio Visual C++ source browser intermediate file
.gyp	Google Chromium GYP input configuration file
.cba	Creative BASIC source code file
.mdp	Microsoft Visual C++ Visual J++ MAK file (old project workspace)
.ml	ML language source code file
.akt	Aksharamala keymap source file
.coffee	CoffeeScript script file
.wmw	Likno Web Modal Windows Builder file
.jsonp	JSON-with-padding source code file
.jacl	IBM WebSphere server script file
.enml	Evernote for Google Android note file
.script	Microsoft WinHelp related file
.sdl	Corel Paradox script file
.ssq	ODBC script file
.ctp	CakePHP template file
.a2w	Alice program world file
.cp	Xcode C++ source code file
.psm1	Microsoft Windows PowerShell script module file
.nas	Nasal script file
.asz	LoseThos assembly source file
.nt	Windows NT command script file
.hc	Header file
.ppa	Microsoft PowerPoint 97 to 2003 add-in file
.opv	OpenPanorama Visit file
.zpd	ABC zeroadic predicates file
.qvs	QlikView Script file
.bxl	Turbo-Basic XL file
.exp	Microsoft Linker input file
.arq	BSM Action Request System client macro file
.sami	Synchronized Accessible Media Interchange file format
.ascx	Active Server Pages web user control file
.jsdtscope	Eclipse JavaScript development file
.din	DataEase installation script
.sca	Scala InfoChannel script file
.nsi	NSIS Nullsoft Scriptable Install System script file
.lmv	Adobe Flash source code
.ncb	Microsoft Developer Studio non-compiled browse file
.m51	ARM Keil Tools linker listing file
.cla	Java Class file
.ips	IPIX IPScript file
.dfb	Data Flask formula file
.datasource	Microsoft Visual Studio data source file
.matlab	Matlab script file
.jl	Julia source code file
.jml	Java Modeling Language specification file
.gch	C++ precompiled header file
.wiki	Wiki markup source file
.ulp	EAGLE script file
.pyx	Pyrex source code file
.m	Objective-C language source file
.vrp	Watcom VXRexx project file
.xul	Firefox XML User Interface Language file
.tru	True Basic source
.mfl	Mozilla Firefox XUL fastload file
.mkb	Marmalade SDK project file
.rgs	InstallShield Script for Windows Registry
.pch	Microsoft Visual Studio Visual C++ precompiled header
.pbl	PowerBuilder source code library
.c#	Microsoft Visual C# file
.mf	Java manifest file
.cpz	LoseThos C+ source file
.hs	Literate Haskell source code or script file
.tdo	Xilinx text design output file
.xslt	XSL transform file
.scss	Syntactically Awesome Stylesheets syntax file
.slim	Slim script
.bgm	Basic4GL 3D object
.kst	Olivetti Olitext Plus script
.ccs	TrialDirector clip script file
.asmx	Active Server Plus Web Services source file
.ifp	KnowledgeMan script file
.brs	Batchrun batch file
.tgml	Tecumseh Group Markup Language file
.tec	PDP-10 TECO macro file
.pdo	Microsoft Access Package and Deployment Wizard script
.agi	Asterisk Gateway Interface file
.pun	AQScript file
.tea	Tea source file
.jardesc	Eclipse JAR settings file
.ps1	Windows PowerShell file
.ebm	Attachmate Extra! macro file
.jade	Jade programming language source code
.dgml	Microsoft Visual Studio Directed Graph Markup Language file
.xtx	xText source file
.cx	CodeMapper script file
.s5d	Siemens Step 5 source code file
.vbx	Microsoft Visual Basic Extension file
.sas	SAS source code file
.lnp	µVision Linker Input File
.rws	Borland C++ resource workshop symbol file
